class	supervoxel_id	root_id	group	side	type	Namiki_name	synonyms	comment	long_tract	soma_location	soma_division	neuropil	neuropilgroup	cluster	confidence_LM_1_5	x	y	z
DN	80506929185063469	720575940614959675	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		129089	77174	5798
DN	80506860465606260	720575940611765201	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		129172	77197	5798
DN	79874091590564340	720575940630569413	720575940609733582	L	DNge071					g	brain	GNG	GNG	6		128200	75539	5798
DN	78959091690713158	720575940634525303	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		137185	77244	5798
DN	78959091690731273	720575940631651810	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135526	75900	5798
DN	78959091690727675	720575940621534273	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135517	76548	5798
DN	78888791666004626	720575940625596647	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135876	76425	5798
DN	78959091690725043	720575940640422016	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135655	76590	5798
DN	78959091690727764	720575940620815896	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135204	76605	5798
DN	78959091690710596	720575940619431765	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		136010	76477	5798
DN	78959160410184370	720575940610309034	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135716	76537	5798
DN	78959091690728851	720575940613814971	720575940609733582	R	DNge071					g	brain	GNG	GNG	6		135194	76669	5798
DN	80506860465598758	720575940638175558	720575940624530407	L	DNge072					g	brain	GNG_IPS	PS_LAL	6		127099	75883	5798
DN	78959091690719124	720575940624530407	720575940624530407	R	DNge072					g	brain	GNG_IPS	PS_LAL	6		135767	75817	5798
DN	81210547907237945	720575940629304702	720575940629304702	L	DNge073					g	brain	GNG_SAD	GNG	12		127112	81387	5798
DN	77973242077686565	720575940634560922	720575940629304702	R	DNge073					g	brain	GNG_SAD	GNG	12		137455	82826	5798
DN	79592547760567457	720575940617035449	720575940612429743	L	DNge074					g	brain	GNG	GNG	12		127828	81919	5798
DN	79381372875417882	720575940612429743	720575940612429743	R	DNge074					g	brain	GNG	GNG	12		137213	83125	5798
DN	81210685077570501	720575940628436282	720575940624015287	L	DNge075					g	brain	GNG_PRW	PRW_FLA	1		127533	82323	5798
DN	78114254108640674	720575940624015287	720575940624015287	R	DNge075					g	brain	GNG_PRW	PRW_FLA	1		136383	84031	5798
DN	80155428859786107	720575940634862943	720575940628971779	L	DNge076					g	brain	GNG	GNG	11		127645	81739	5798
DN	77480798172956975	720575940628971779	720575940628971779	R	DNge076					g	brain	GNG	GNG	11		134773	81358	5798
